Site,Year,Depth_HMRG_5m,CommCatch,NCCatch,Effluent,Golf 
1,2008,,0.385583522,32.08146667,0,0
2,2008,-4.247656345,0.385583522,5.891555309,0,0
3,2008,-10.99053955,0.385583522,3.750375032,0,0
4,2008,-0.444596291,0.385583522,17.01908112,0.182086632,0
5,2008,-3.927822113,0.385583522,25.29583359,0.100378379,0
6,2008,-2.170006037,0.385583522,8.523253441,0.325157344,0
7,2008,-3.005384684,0.385583522,28.93753624,2.328733683,0
8,2008,-2.740124941,1.430248943,28.93527412,7.239873886,0
9,2008,-1.293771029,1.430248943,23.80392075,24.40874863,0
10,2008,,1.430248943,12.93721485,0.022271903,0
11,2008,-3.257482529,1.430248943,10.27625561,0,0
12,2008,-5.295109749,1.430248943,10.2965517,2.877922535,0
13,2008,-14.91974449,1.430248943,25.46238899,5.90990591,0
14,2008,,1.430248943,25.44618225,32.95822906,0
15,2008,,1.430248943,25.52129173,4.213202,0
16,2008,,1.430248943,13.94103813,2.671124458,0
17,2008,,1.430248943,20.504776,4.833403111,0
18,2008,-3.89615941,1.430248943,29.15570259,11.03844929,0
19,2008,,1.430248943,19.89135551,6.921431065,0
20,2008,-4.247411728,1.430248943,40.78819275,16.03164291,0
21,2008,-9.041003227,1.430248943,9.740194321,3.685245275,0
22,2008,-3.014629126,1.430248943,40.75045395,1.250537038,0
23,2008,-3.195248604,1.430248943,40.82186127,33.40200424,0
24,2008,-3.636822701,0,0,49.35636139,0
25,2008,-6.29308176,1.430248943,17.3923111,2.336642981,7.00473E-06
26,2008,-7.924313545,1.430248943,25.68724632,1.001130939,9.66987896
27,2008,-5.59606266,1.430248943,40.89425278,1.563019872,24.42222595
28,2008,,1.430248943,21.55605888,1.032065511,8.736871719
29,2008,,1.430248943,40.94624329,6.538456917,20.79912376
30,2008,-3.359359503,1.430248943,40.95882034,14.88337803,42.91086578
31,2008,-2.974364758,1.430248943,29.32113647,35.29682541,7.408278465
32,2008,-2.950774431,1.430248943,40.9655571,240.9575806,0
33,2008,-3.942598104,1.430248943,29.22763252,65.05553436,0
34,2008,-3.289685011,1.430248943,40.88282776,163.046524,0
35,2008,-3.837895155,0,33.30277252,0.406006396,0
36,2008,-7.03362751,1.430248943,40.91040802,0,0
37,2008,-3.029623747,1.430248943,29.26948738,2.399109602,0
38,2008,-2.954696655,1.430248943,40.89472961,4.013692856,0
39,2008,-6.500833035,1.430248943,40.88515854,1.552826047,0
40,2008,-3.398068666,1.430248943,40.81813049,0.004831245,0
41,2008,-4.498167992,0.324051575,40.76702499,0.18404603,5.672036648
42,2008,-1.152528405,0.324051575,11.04577732,0.000230333,3.342759371
43,2008,-3.776042461,0.324051575,15.53081608,0.015368946,0
44,2008,-1.702918172,0.324051575,15.51137352,0.142543808,0
45,2008,-2.771329403,0.324051575,17.79249573,0,0
46,2008,-2.760179043,0.324051575,26.580019,0,21.03391075
47,2008,-2.886535883,0.324051575,40.70770264,1.722213984,72.37078857
48,2008,-2.58340764,0.324051575,29.02190018,1.813690424,19.24814796
49,2008,-2.334852695,0.324051575,10.78765869,0.431540161,0
50,2008,-3.733398199,0.324051575,40.66021347,0.043286987,0
51,2008,-1.474838734,0.324051575,10.87070847,0.730400145,1.84997654
52,2008,-1.939118981,0.324051575,8.35586071,0,0.110905483
53,2008,-3.077209234,0.324051575,17.40512466,0.514088929,7.053137779
54,2008,-1.514680743,0.324051575,40.67272568,0.118560314,6.258039474
55,2008,-2.954334497,0.324051575,40.60710907,0.866335511,57.87830353
56,2008,-2.962052822,0.324051575,28.97530365,2.794377565,36.46377945
57,2008,-3.966137886,0.324051575,37.89415359,3.184869528,50.88404846
58,2008,-3.06461668,0.324051575,40.63699341,4.515406132,31.93913841
59,2008,-3.394626141,0.324051575,38.12766647,19.35684776,36.5136528
60,2008,-2.076009035,0.324051575,9.664704323,30.82803726,14.4123764
61,2008,-3.630207539,0.324051575,28.946661,6.107686996,34.4949646
62,2008,-3.678702354,0.324051575,28.92776489,11.03955746,37.76604462
63,2008,-3.111324549,0.324051575,9.649577141,13.01606941,0.206200153
64,2008,-3.124780416,0.324051575,10.81572056,7.602365017,0
65,2008,-3.983906269,0.324051575,28.98902893,5.780463696,0
66,2008,-5.166903496,0.324051575,25.47754097,25.13322449,0
67,2008,-3.602903605,0.324051575,23.8830471,17.0123806,0
68,2008,-3.292387724,0.324051575,25.46701241,0,0
69,2008,-4.225747108,0.055812801,7.888710976,0,0
70,2008,-3.060428619,0.055812801,10.33567333,0.029000709,0
71,2008,-4.851951122,0.055812801,4.474461079,0.123532556,0
72,2008,-2.148362398,0.019394575,20.85066986,0.07007198,0
73,2009,-3.798268795,0.005737139,0,0.105173036,0
74,2009,-4.477762699,0.029339266,14.01924896,0.119447932,0
75,2009,-6.31883812,0.029339266,11.93154049,0.066057958,0
76,2009,-6.408071518,0.029339266,44.58837891,0,0
77,2009,-5.82716465,0.029339266,21.83772659,0,0
78,2009,-4.47028923,0.442555183,30.12642097,3.57916975,0
79,2009,-4.775727749,0.442555183,28.46604919,24.36376762,0
80,2009,-8.050043106,0.442555183,28.25987244,20.22990227,0
81,2009,-5.20933485,0.442555183,35.370327,4.091849804,0
82,2009,-4.662331581,0.442555183,44.69847488,3.880795479,0
83,2009,-4.553500175,0.442555183,45.33893204,11.44265175,44.33168411
84,2009,-4.054355621,0.442555183,35.55430222,11.80498981,50.51741028
85,2009,-5.121211529,0.442555183,48.11950302,5.233748436,10.63107872
86,2009,-4.65255928,0.365201562,33.6713028,19.57216072,2.263738632
87,2009,-1.869458437,0.442555183,45.28929901,10.74101734,20.40595245
88,2009,-4.265480995,0.442555183,11.72726822,1.977358103,47.63997269
89,2009,-3.267337322,0.442555183,35.62464523,4.212405205,46.39379883
90,2009,-4.9280653,0.442555183,48.07550049,1.173048258,43.4186058
91,2009,-4.911100388,0.442555183,35.52068329,0.185327992,1.745720029
92,2009,-4.868524551,0.442555183,48.00571442,0.325652689,4.069125175
93,2009,-6.746534824,0.442555183,13.20973015,0.298372805,5.051940918
94,2009,-5.196212769,0.442555183,13.4170332,0.117532857,0.944305122
95,2009,-5.257633209,0.442555183,48.12753296,0.033264536,0
96,2009,-4.842102051,0.442555183,35.53065109,0.892870128,0.216866106
97,2009,-4.419023037,0.442555183,13.0643301,1.125743032,0
98,2009,-4.130380154,0.442555183,44.41748428,2.503837824,74.74295807
99,2009,-5.775007725,0.442555183,48.26945496,0.279682338,53.5650444
100,2009,-4.383448124,0.442555183,30.34377098,0,7.41689682
101,2009,-3.642953396,0.442555183,18.47971535,0.038898677,0
102,2009,-4.814592361,0.442555183,18.52848244,0.135817036,0
103,2009,-3.178395987,0.442555183,14.40749931,0,0
