Year,Site,parrotbiomass,surgeonbiomass,herbbiomass,grazerbiomass,browserbiomass,scraperbiomass,totalbiomass
2008,1,30.73,84.01,120.77,61.91,28.77,30.08,127.59
2008,2,19.05,55.12,75.11,46.73,9.33,18.25,81.03
2008,3,27.07,73.19,101.95,57.72,17.14,27.08,106.86
2008,4,18.21,30.44,52.46,20.59,13.66,18.21,55.17
2008,5,12.26,67.99,80.42,41.27,26.91,12.26,81.36
2008,6,7.91,60.24,68.34,45.17,15.25,7.91,82.8
2008,7,22.43,41.69,65.53,27.13,15.97,22.42,70.54
2008,8,11.59,62.25,75.39,44.85,18.96,11.59,75.93
2008,9,1.45,47.65,49.85,47.27,1.14,1.45,51.75
2008,10,5.5,41.3,49.07,35.64,7.93,5.5,55.95
2008,11,4.89,46.22,52.89,38.56,9.45,4.89,53.83
2008,12,0.52,96.52,98.29,33.36,64.42,0.52,104.83
2008,13,6.47,31.15,38.64,24.46,7.72,6.47,39.82
2008,14,5.39,59.87,66.03,53.99,6.64,5.39,68.79
2008,15,2.08,45.86,47.94,36.74,9.11,2.08,51.57
2008,16,5.94,48.97,54.9,39,9.95,5.94,65.79
2008,17,9.32,28.49,37.82,21.12,7.52,9.19,44.66
2008,18,5.73,26.16,32.19,18.17,8.28,5.73,33.05
2008,19,33.59,49.62,86.77,39.02,14.15,33.59,90.26
2008,20,32.57,62.25,109.97,46.4,31.47,32.1,115.52
2008,21,22.19,56.13,78.31,44.93,11.31,22.08,81.65
2008,22,24.41,37.43,62.46,30.25,7.82,24.4,65.47
2008,23,14.21,4.87,19.07,3.95,0.91,14.21,19.67
2008,24,6.29,22.98,29.78,14.69,8.8,6.29,52.73
2008,25,4.98,43.26,59.85,41.08,13.8,4.98,61.2
2008,26,6.33,22.65,29.63,18.58,4.72,6.33,32.39
2008,27,17.2,50.19,67.39,39.98,10.43,16.98,69.88
2008,28,16.21,57.29,73.5,52.26,5.03,16.2,76.79
2008,29,21.9,32.13,54.03,20.53,11.64,21.86,55.86
2008,30,6.47,99.6,106.28,68.44,31.38,6.46,112.09
2008,31,12.96,24.58,37.54,20.02,4.56,12.96,40.97
2008,32,4.7,13.2,17.9,10.85,2.34,4.7,26.24
2008,33,9.51,19.48,28.99,15.73,3.76,9.51,30.94
2008,34,1.87,5.76,7.63,5.76,0,1.87,7.9
2008,35,15.85,63.42,85.81,49.2,20.81,15.81,87.12
2008,36,35.32,68.63,105.72,50.3,20.1,35.32,108.33
2008,37,21.91,79.41,102.01,72.36,7.74,21.91,123.05
2008,38,5.72,50.84,56.56,47.17,3.67,5.72,64.27
2008,39,19.83,53.18,74.95,37.84,17.4,19.72,102.47
2008,40,24.79,34.98,59.77,25.56,9.52,24.69,62.69
2008,41,13.53,68.21,84.24,51.7,19.01,13.53,93.78
2008,42,10.5,14.45,26.58,7.82,8.27,10.49,27.77
2008,43,3.75,51.04,54.79,8.19,42.95,3.65,55.24
2008,44,0,8.79,8.79,2.4,6.39,0,8.79
2008,45,10.4,17.64,28.04,8.17,9.47,10.4,29.86
2008,46,2.15,8.23,10.39,3.54,4.69,2.15,10.61
2008,47,2.51,7.29,12.29,2.27,7.5,2.51,12.29
2008,47,3.46,14.5,17.96,12.32,2.2,3.46,20.3
2008,48,19.63,34.05,53.68,25.1,8.95,19.62,56.27
2008,49,2.14,14.02,16.16,8.01,6.02,2.13,16.76
2008,50,23.54,44.08,67.62,40.58,3.49,23.53,68.15
2008,51,2.42,0.64,3.07,0.25,0.39,2.42,3.51
2008,52,2.42,32.21,37.14,24.93,9.79,2.42,42.87
2008,53,9.04,4.17,13.21,4.17,0,9.05,13.5
2008,54,6.19,3.49,9.99,1.63,2.17,6.19,10.58
2008,55,3.81,7.37,11.18,4.24,3.13,3.81,11.24
2008,56,35.28,40.99,76.26,32.21,8.77,35.28,92.45
2008,57,26,15.02,53.76,7.46,20.29,26.01,54.29
2008,58,14.02,11.03,25.05,9.36,1.67,11.65,28.04
2008,59,16.03,18.31,34.34,14.9,3.41,16.03,35.92
2008,60,23.28,2.56,25.85,0.51,2.06,23.29,28.21
2008,61,15.25,25.01,51.59,16.74,19.61,15.24,57.4
2008,62,2.58,5.61,8.19,5.22,0.39,2.58,8.8
2008,63,14.84,12.09,26.93,3.72,8.37,14.83,28.38
2008,64,15.7,9.01,24.72,2.66,6.36,15.7,26.89
2008,65,0.99,6.08,10.08,5.84,3.27,0.99,12.47
2008,66,11.52,18.68,30.2,11.57,7.11,11.51,30.78
2008,67,24.65,18.75,43.4,13.76,4.99,24.65,46.03
2008,68,26.3,29.82,58.32,22.76,9.27,26.31,61.99
2008,69,15.35,47.22,62.57,34.04,13.18,15.35,62.93
2008,70,19.76,17.57,38.83,8.87,10.31,19.64,39.85
2008,71,31.82,48.01,86.41,36.16,18.49,31.77,87.78
2008,72,2.73,9.96,12.69,8.07,1.89,2.73,14.2
2009,73,8.67,20.33,47.75,15.24,23.84,8.67,48.3
2009,74,3.53,6.23,10.31,2.37,4.4,3.53,10.79
2009,75,16.61,15.15,33.52,8.11,8.8,16.62,33.86
2009,76,9.72,10.69,25.28,8.85,6.7,9.72,34.19
2009,77,16.33,8.2,24.53,7.2,0.99,16.33,25.21
2009,78,10.01,14.89,33.77,10.1,13.66,10.02,34.41
2009,79,17.34,5.67,23.01,3.53,2.15,17.34,23.44
2009,80,11.41,3.87,17.24,3.51,2.32,11.41,18.62
2009,81,1.65,7.71,9.67,5.09,2.92,1.65,11.08
2009,82,10.41,14.07,24.48,8.99,5.08,10.41,24.68
2009,83,19.14,13.63,32.87,11.91,1.82,19.14,33.87
2009,84,11.61,31.97,43.7,21.43,10.87,11.4,48.52
2009,85,16.45,9.85,26.3,5.01,5,16.28,26.73
2009,86,6.3,6.11,17.93,4.44,7.18,6.3,21.41
2009,87,7.92,22.44,75.53,7.72,59.89,7.92,77.78
